sid,nid,nage,ngender,lid,lage,lgender,n2id,n2age,n2gender,nsindex,lsindex,n2sindex,family,pair,group,week,finalweek,cumulweek,intergenerational_index,done,duration,wtest,appversion,appversion2,stat_stories,stat_stories_from_log,stat_editions,stat_editions_from_log,stat_deletions,stat_pictures,stat_questions_views,stat_questions_answered,stat_public_memento_views,stat_public_memento_detail_views,mood_week_narrator,mood_before_narrator,mood_after_narrator,mood_week_listener,mood_before_listener,mood_after_listener,mood_week_narrator2,mood_before_narrator2,mood_after_narrator2,log_traffic,p_score_binary,p_score,s_max_score,sg_score,se_score,set_score,st_score,sr_score,pc_score,pnc_score,cc_score,cnc_score,c_max_score
46,77,67,1,80,22,1,0,NA,NA,1,2,NA,0,6,1,5,6,3,2,1,0.93,0,4,6,8,8,3,3,0,4,26,5,1,0,22,0,29,0,0,36,0,0,NA,67,NA,2,1,1,1,0,3,0,0,2,0,0,0
80,96,79,1,141,32,1,0,NA,NA,1,2,NA,0,11,2,3,3,3,2,1,1,0,4,4,2,2,8,8,0,1,38,0,68,2,NA,NA,NA,0,0,NA,0,0,NA,136,1,3,3,2,3,2,3,0,2,0,2,0,2
47,78,73,1,146,40,0,0,NA,NA,2,2,NA,0,7,1,4,1,1,2,1,0.83,0,4,6,1,1,3,3,0,7,9,1,109,4,0,0,40,0,0,34,0,0,NA,153,NA,3,1,1,1,1,3,1,2,0,1,0,2
48,79,78,1,82,28,1,0,NA,NA,2,1,NA,0,8,1,4,6,4,3,1,0.98,0,3,3,10,10,2,2,0,10,20,0,60,0,0,0,34,0,0,33,0,0,NA,118,1,2,3,2,2,3,3,1,2,2,0,3,2
49,83,90,1,84,29,0,122,80,1,NA,1,NA,1,9,1,4,6,4,3,1,1.28,0,2,2,6,6,3,3,0,2,12,0,0,0,0,0,34,0,0,33,0,0,31,28,1,1,3,2,3,0,3,2,1,3,2,2,2
50,69,67,1,71,21,1,0,NA,NA,1,2,NA,0,1,1,5,8,5,2,1,1,0,4,6,0,0,0,0,0,0,8,0,40,1,0,0,31,0,0,37,0,0,NA,55,1,1,3,0,3,3,3,2,2,1,0,0,2
51,70,68,1,72,38,0,0,NA,NA,NA,NA,NA,0,2,1,6,8,6,2,1,0.97,1,2,2,3,3,5,5,0,17,6,0,0,0,0,0,40,0,0,NA,0,0,NA,55,1,3,3,0,3,1,3,2,2,1,1,0,2
52,73,72,0,74,28,1,0,NA,NA,NA,2,NA,0,3,1,6,7,5,2,1,1.33,1,1,1,8,8,5,6,0,18,11,0,11,1,35.83,NA,NA,0,0,27,0,0,NA,78,1,3,3,1,3,0,3,2,3,2,3,0,3
53,75,65,1,76,18,1,0,NA,NA,NA,NA,NA,0,4,1,6,7,6,2,0,0,0,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,98,89,1,99,15,1,121,82,1,3,2,2,1,5,1,3,6,3,4,1,0.75,1,2,2,1,1,4,4,0,3,12,0,0,0,NA,NA,NA,0,0,NA,0,0,NA,33,1,3,2,0,2,0,3,1,3,2,3,0,3
